temp,humidity,precip,windspeed,sealevelpressure,solarradiation
20,79.6,0,25,1016.2,189.5
20.8,72.4,0,18.1,1015.5,277.8
20.7,68.6,0,18.5,1015.5,260.3
21.9,70.8,0,21.5,1015,268.7
21.4,72.1,0,21.9,1014,262.3
20.9,75.6,0,24.9,1014.9,182.2
22.7,69.7,0,21.7,1014.8,284.4
22.5,66.2,0,21.3,1014,275
22.1,64.5,0,18.6,1014.7,276.6
22.7,63.5,0,20.9,1013.6,211.6
21.6,65.7,0.001,25.3,1014.2,216.6
20.6,61.1,0,35.5,1016.1,262.4
23.4,50.6,0,21.7,1015.9,282
27.9,29.9,0,26,1015.6,281.3
27.1,38,0,28.5,1016.8,260.5
23.3,50.2,0,25.8,1018.9,246.4
24.2,62.3,0,25.2,1013.9,199
24.3,65.7,0,25.2,1011.3,238.1
21.4,76.5,0,26.5,1014.1,90.9
21.8,74.6,0,24.8,1016.6,107.3
21.3,75.6,0,19.5,1013.8,119.8
20.3,77.6,0,14.3,1010.6,178.5
20.3,74,0,21.6,1010.7,98.2
20.9,77.2,0,21.5,1014.8,242.2
21.5,68.8,0,18.2,1018.7,261.7
21.7,66.1,0,28.3,1019.6,240.5
22,67.8,0,21.8,1017.5,242
21.7,67.4,0,18.2,1017.2,220.8
21.3,60.9,0,18.3,1016.7,255.3
20.5,78.9,0,22.7,1018.6,253.6
21.6,83.3,0,28.4,1020.6,244.4
22.1,72.2,1.978,17.9,1020.7,241
21.4,72.7,0,21.1,1018.8,210
22.5,84.2,0,24.7,1018.2,126.5
23.1,74.4,0,18.1,1019.1,130.5
23.1,67.8,0,17.8,1017.1,239.5
21.6,81.3,0,21.2,1012.8,199.8
20.9,94.3,14.996,29.2,1005.8,99
21.1,87.8,4.203,32.2,1004.9,166.6
21.1,90.1,8.032,24.8,1009.5,215.8
21.3,84.3,1.582,24.8,1014.6,179.6
21.7,80.8,0,17.7,1014.7,227.8
23.2,68.8,0,18.2,1011,226.2
