temp,humidity,precip,windspeed,sealevelpressure,solarradiation
16.1,61.8,0,5.6,1021.3,274.2
18.1,50.2,0,7.3,1021.1,282.1
17.3,47,0,5.1,1017.8,255.7
18,44.2,0,8.4,1013.8,273.7
13.6,63.5,0.173,10.3,1009.4,204.4
8.2,71.7,8.944,19,1006.6,174.7
10.4,54.7,0.133,12.3,1007.8,258.2
8.9,83.4,16.359,16.9,1001.1,57
7.9,79.5,6.087,25.9,1001.6,156.3
10.5,65.1,0,10.4,1011.8,294.6
12.9,60.7,0,5.6,1012.6,287.3
14.2,64.4,3.575,8,1012.7,171.4
12.7,81.6,11.896,7.1,1015.9,156.7
11.8,83.6,1.502,6.4,1019.9,186.4
15.5,62,0,7.6,1024.5,284
16.6,64,0,6.6,1022.2,250
18.1,59.3,0.129,9.2,1018.1,270
13.6,73.2,6.09,8.4,1011.6,163.1
12.9,74.6,3.447,13.2,1012.2,155.3
14.9,61.1,0.169,12.4,1016.4,248.8
15.8,54.8,0.003,7.3,1021,305.1
16.3,46.3,0,7.8,1022.4,304.5
17,45.7,0,8.7,1021.3,302.8
18.6,42.6,0,6.5,1019.7,305.8
19.6,45.3,0,6,1020.7,298.5
20.4,47.8,0,7,1021.5,297.3
21.5,46.7,0,7.4,1018.6,278
20.9,43.5,0,8.8,1018.9,264.9
21.3,44.8,0,7.4,1020.1,290.2
21.4,51.1,0.342,6,1017.1,210.4
19.5,56.8,0,13.5,1016.3,263
18.9,54.4,0,8.9,1020.1,295.1
20.5,51.2,0,9.1,1020.6,91.2
23.3,45.9,0,7.1,1017.9,285.3
25.1,38.6,0,10.8,1017.7,281.2
25.5,35.8,0,9.7,1021.1,240
26,36.1,0.035,8.2,1019.2,249.5
22.6,45.4,0,15.5,1013.9,257.9
20.5,54.2,0,14.2,1011.4,281.7
17.2,47.8,0.018,12.6,1010.9,228.4
15.6,45.6,0,11.8,1019.5,301.6
18.7,40.8,0,10.4,1023.2,327
23.1,32.9,0,7.7,1019.8,322.9
24.3,31.8,0,7.6,1014.6,315.6
23.4,35.6,0,12.3,1007.6,281.3
19.7,47.9,0,21.4,1009.3,290.3
21.2,44.9,0,8.5,1013,318.4
22.8,35.4,0,14.4,1014.3,311
21.4,49.4,0,11.3,1013.7,235.2
21.4,43.5,0.017,11.5,1013.4,322.8
20.3,44.4,0,12.4,1015.2,318.6
21.1,42.2,0,10.5,1019.6,324.6
23.2,35.9,0,10.7,1019.1,292.8
24.9,37.2,0,10.2,1017.9,314
23.3,44,0,13.3,1016.3,246.9
25.2,44.4,0,9.2,1018.6,316.9
27.2,30,0,7.2,1019.4,308.5
28.8,31.1,0,8.4,1018.3,309.3
28.8,26.8,0,8.2,1019.5,270.3
29.6,22.4,0,9.1,1017.4,290.3
30.9,23.9,0,9.8,1015,290.2
30.6,25.3,0.014,8.5,1016.2,258.4
30.9,28.3,0.068,8.8,1018.3,229.9
30.4,32,0.004,11.9,1019.2,277.3
31.2,22.7,0,12.5,1014.1,267.9
23.3,39.8,0,19,1011.3,322.5
21.9,44,0,14.8,1011.1,266.4
20.1,38.1,0,11,1011.6,316.5
19.4,44.9,0,18.6,1012.2,330
19.1,56.4,0.494,18.2,1014.3,260.3
19.6,50.3,0,12.9,1015.8,308.3
21.1,42.8,0,16.6,1012.4,291.9
21.6,29.8,0,14,1010.8,319.6
21.9,34.8,0,9.4,1014.6,297.5
23.2,36.6,0,8.8,1018.1,321.1
25,25.3,0,13.2,1013.4,316.3
23.2,33.3,0.47,12.5,1012.2,303.4
23.9,36.8,0,9.3,1015.9,322
27.7,45.3,0,9.3,1016.6,309.7
28.3,40.7,0,13,1016.6,299.9
27.4,32.2,0,9.4,1016.7,313.7
28,24.5,0,10.8,1016.2,312.9
25.6,45.8,0.07,12.6,1018.4,238.7
24.7,38.5,0,12.3,1023.8,316.5
26.4,32.1,0,8.4,1023.2,318.4
29,28.6,0,6.9,1021,309.7
30.4,24.9,0,7.9,1016.7,308.6
30.3,25.4,0,8,1014.3,268.5
31.3,23.4,0.025,8.2,1018.5,280.7
31.8,24.1,0,6.5,1019.9,262.3
33.5,18.9,0,8.7,1018.8,286.6
32.3,17,0,9.7,1016.4,296.1
32.2,21.1,0,9.2,1016.7,300
32.2,21.5,0,10,1017.8,293.7
31.9,23.1,0,11.7,1016.8,293.7
29.1,25.1,0,15.7,1016.5,306.1
28.4,23.6,0,5.8,1017.9,301.4
30.1,28.3,0,8.2,1017.7,297.2
30.4,28,0,12.2,1016.3,284.1
29.6,17.8,0,10.7,1017,310.9
29.9,18.1,0,13.4,1017.3,299.2
30.1,18.2,0,12.3,1017,295.1
28.6,31.4,0,9.7,1015.7,262.3
28.5,35.7,0,10.5,1013.3,299.7
28.9,26.5,0,11.4,1011.8,295.6
29.2,28.6,0,10.4,1013.8,293.5
27.7,44.5,0.043,10.2,1017,258.4
28.9,44.5,4.93,6.9,1017.2,283.7
30.9,32.4,0,7.2,1016.1,260.5
30.7,35.7,0.086,9.8,1015.4,251.8
30,35.4,0.065,9.2,1013.3,283.2
30,29.5,0,9.6,1013.2,287.5
30,29.7,0.042,9.3,1014.7,286.6
29.5,29.8,0,9.3,1015.9,284.6
29.5,29.7,0,9.1,1014.8,288.6
28.7,29.3,0,7.4,1015,285.2
29.9,29.7,0,8.8,1016,279.1
30.8,29.5,0,10.7,1015.7,264.1
29.9,33.6,0.022,10.5,1014.6,308.8
29.8,31.7,0,9.2,1015,269.8
26.1,40.1,0,12.9,1015.1,108.4
24.5,39.8,0,11.3,1011.8,291
24.9,29,0,11.4,1010,225.7
24,30.9,0,17.1,1009.4,263.9
21.3,43.9,0.628,8.2,1012,289.2
21.6,43.1,0.006,8.8,1017.1,284.5
23.4,37.8,0,7.4,1019.8,283.5
26.2,30.4,0,7.6,1018.8,279.1
28,25,0,7.9,1016.8,263.2
27.9,34.2,0,8.3,1014.8,268
28.5,36.6,0,8.4,1013.7,268.4
28.6,35.3,0,8.3,1013.3,231.4
27.5,36.2,0,7.6,1014.3,229.3
25.7,47.4,0.013,10.3,1014.7,183.9
25.3,46.7,0,6,1012.4,229.4
27.3,42.8,0,10.9,1012.2,147.6
27.3,46.4,1.381,14.5,1014.5,252.5
27.1,35.3,0,12.7,1017.1,263.9
26.3,28.2,0,14,1017.2,263.5
24.5,27.5,0,11,1014.9,289.3
23.4,34.6,0,15.4,1013.4,246
22.3,42.8,0,12.6,1013.1,254.1
21.7,35.3,0,10.9,1016.8,263.7
